"ï»¿""Name""",size,Category,Quantity_Available,Retail,Case Retail,Case Pack
BLOCKHOUSE IPL,24/12 OZ BTL,CRAFT,0.00,30.9900,30.9900,1
HEAVY SEAS CROSSBONE,24/12 OZ BTL,CRAFT,0.00,38.9900,38.9900,1
ITHACA DAY DREAMER,24/12 OZ BTL,CRAFT,0.00,39.9900,39.9900,1
TRAVELER FORBIDDEN,24/12 OZ BTL,CRAFT,0.00,35.9900,35.9900,1
PEAK SIMCOE SPRING,24/12 OZ BTL,CRAFT,0.00,38.9900,38.9900,1
VICTORY SAISON DU BUFF,24/12 OZ BTL,CRAFT,0.00,41.9900,41.9900,1
DUCLAW 62 IMP PUMPKIN,24/12 OZ BTL,CRAFT,0.00,41.9900,41.9900,1
LAGUNITAS UNDERCOVER INVESTIGATION,24/12 OZ BTL,CRAFT,0.00,39.9900,39.9900,1
FLYING DOG COUNTER CULTURE,24/12 OZ BTL,CRAFT,0.00,36.9900,36.9900,1
OFF COLOR APEX PRED,24/12 OZ BTL,CRAFT,0.00,58.9900,58.9900,1
BALLAST POINT PALE ALE,24/12 OZ BTL,CRAFT,0.00,38.9900,38.9900,1
LAKEFRONT NEW GRIST GINGER,24/12 OZ BTL,CRAFT,0.00,38.9900,38.9900,1
TOMMY KNOCKER CHILE LAGER,24/12 OZ BTL,CRAFT,0.00,19.9700,19.9700,1
BEACH HAUS HERBS RYE,24/12 OZ BTL,CRAFT,0.00,35.9900,35.9900,1
WEYERBACHER DBL IPA#2,24/12 OZ BTL,CRAFT,0.00,55.9900,55.9900,1
REDHOOK SEEDY BLONDE,24/12 OZ BTL,CRAFT,0.00,14.9700,14.9700,1
DUCLAW QUICKSTART HEART,24/12 OZ BTL,CRAFT,0.00,41.4900,41.4900,1
FLYING DOG COFFEE PORTER,24/12 OZ BTL,CRAFT,0.00,40.4900,40.4900,1
SHORTS HUMA LUPA *4/6 PACK*,24/12 OZ BTL,CRAFT,0.00,12.3500,39.4900,4
ITHACA CREEKER,24/12 OZ BTL,CRAFT,0.00,66.9900,66.9900,1
SUMMIT UNCHAIN US & THEM IPA VARIETY,24/12 OZ BTL,CRAFT,0.00,39.9900,39.9900,1
